frameIndex,renderDurationMs,heapUsedMB,rssMB
0,67,7.59,84.71
1,52,7.91,93.04
2,62,8.26,101.33
3,63,8.59,109.82
4,55,8.73,118.10
5,48,8.85,125.61
6,49,9.00,134.02
7,61,9.11,142.23
8,54,9.23,150.07
9,54,7.40,102.61
10,49,7.51,110.52
11,52,7.61,118.75
12,60,7.71,126.49
13,53,7.82,134.64
14,57,7.92,142.56
15,51,8.03,150.48
16,51,8.13,158.39
17,57,8.24,166.34
18,55,7.45,103.03
19,94,7.55,111.08
20,117,7.65,119.00
21,66,7.77,126.63
22,62,7.86,134.78
23,68,7.95,142.73
24,70,8.04,150.64
25,61,8.13,158.56
26,49,8.22,166.50
27,50,7.43,103.19
28,60,7.52,111.11
29,49,7.61,119.03
30,75,7.70,126.95
31,68,7.79,134.86
32,54,7.87,142.77
33,49,7.96,150.69
34,48,8.05,158.61
35,65,8.14,166.52
36,56,7.44,103.21
37,47,7.52,110.75
38,70,7.61,118.66
39,60,7.70,126.58
40,52,7.79,134.66
41,59,7.88,142.64
42,61,7.96,150.56
43,60,8.05,158.56
44,54,8.15,166.19
45,59,6.58,102.89
46,49,6.67,110.81
47,48,6.76,118.90
48,88,6.85,126.81
49,83,6.94,134.73
50,80,7.02,142.64
51,100,7.11,150.56
52,53,7.22,158.49
53,50,7.31,166.40
54,51,6.50,102.67
55,48,6.59,110.62
56,81,6.68,118.61
57,63,6.76,126.52
58,65,6.85,134.44
59,107,6.94,142.36
60,69,7.03,150.27
61,48,7.12,158.18
62,53,7.21,166.16
63,52,6.49,102.85
64,54,6.57,110.77
65,54,6.65,118.68
66,73,6.73,126.60
67,66,6.81,134.52
68,72,6.89,142.43
69,53,6.97,150.34
70,47,7.05,158.26
71,49,7.13,166.17
72,50,6.49,102.86
73,50,6.57,110.77
74,52,6.65,118.69
75,48,6.73,126.60
76,46,6.81,134.52
77,47,6.89,142.43
78,54,6.97,150.34
79,47,7.05,158.51
80,47,7.13,166.43
81,48,6.49,103.12
82,56,6.57,111.03
83,54,6.65,118.95
84,51,6.73,126.86
85,49,6.81,134.78
86,67,6.90,142.69
87,59,6.98,150.61
88,48,7.06,158.52
89,50,7.14,166.43
90,50,6.49,103.13
91,48,6.57,111.04
92,52,6.65,118.96
93,51,6.74,126.87
94,49,6.82,134.79
95,82,6.90,142.70
96,65,6.98,150.62
97,47,7.06,158.53
98,50,7.14,166.45
99,49,6.50,103.13
100,49,6.58,111.05
101,49,6.67,118.90
102,48,6.75,126.82
103,48,6.83,134.73
104,54,6.91,142.67
105,53,6.99,150.59
106,54,7.07,158.50
107,47,7.15,166.43
108,49,6.51,103.12
109,47,6.59,111.04
110,46,6.67,118.95
111,47,6.79,126.64
112,53,6.88,134.63
113,47,6.97,142.55
114,100,7.06,150.46
115,96,7.14,158.38
116,49,7.23,166.31
117,65,6.54,103.01
118,74,6.63,111.01
119,72,6.72,118.93
120,69,6.81,126.84
121,62,6.90,134.75
122,48,6.99,142.67
123,56,7.07,150.58
124,48,7.16,158.50
125,50,7.25,166.45
126,48,6.55,103.13
127,51,6.64,111.05
128,84,6.72,118.97
129,76,6.81,126.88
130,68,6.90,134.80
131,86,6.99,142.71
132,59,7.07,150.63
133,52,7.16,158.54
134,55,7.25,166.45
135,60,6.55,103.14
136,53,6.64,111.14
137,46,6.72,119.05
138,49,6.81,126.97
139,69,6.90,134.88
140,54,6.99,142.80
141,48,7.08,150.71
142,46,7.17,158.63
143,50,7.25,166.54
144,50,6.55,103.27
145,66,6.64,111.18
146,52,6.73,119.09
147,61,6.81,127.01
148,62,6.90,134.92
149,64,6.99,142.84
150,60,7.08,150.75
151,82,7.17,158.66
152,50,7.25,166.58
153,60,6.55,103.33
154,50,6.64,111.24
155,46,6.73,119.16
156,72,6.81,127.07
157,92,6.90,134.98
158,96,6.99,142.90
159,155,7.08,150.81
160,49,7.17,158.73
161,55,7.25,166.64
162,57,6.55,103.33
163,56,6.64,111.24
164,64,6.73,119.16
165,83,6.82,127.09
166,62,6.91,135.00
167,62,7.00,142.92
168,54,7.09,150.83
169,53,7.17,158.75
170,55,7.26,166.66
171,53,6.56,103.35
172,63,6.65,111.26
173,55,6.73,119.18
174,54,6.82,127.09
175,57,6.91,135.00
176,66,7.00,142.92
177,48,7.09,150.83
178,51,7.17,158.75
179,52,7.26,166.66
180,55,6.56,103.35
181,64,6.65,111.26
182,56,6.74,119.18
183,50,6.82,127.09
184,59,6.91,135.00
185,62,7.00,142.92
186,53,7.09,150.83
187,50,7.17,158.75
188,54,7.26,166.66
189,51,6.56,103.35
190,54,6.65,111.26
191,50,6.74,119.18
192,49,6.82,127.09
193,52,6.91,135.00
194,50,7.00,142.92
